max_depth,ntree,auc
2.0,25.0,0.7968948017657237
4.0,25.0,0.81969333053342
6.0,25.0,0.8404826789963644
8.0,25.0,0.8498142005722913
10.0,25.0,0.8578615018175666
2.0,50.0,0.7926052800384011
4.0,50.0,0.8282976999784406
6.0,50.0,0.844620311973982
8.0,50.0,0.8572501140439481
10.0,50.0,0.8630137898309783
2.0,75.0,0.7981399552303907
4.0,75.0,0.8264476400211324
6.0,75.0,0.8494777618962597
8.0,75.0,0.8575726494623848
10.0,75.0,0.8635424355838641
2.0,100.0,0.7985290280672724
4.0,100.0,0.8272286945721901
6.0,100.0,0.8478215244365936
8.0,100.0,0.8589398917827096
10.0,100.0,0.8661243651487295
2.0,150.0,0.7919160552998907
4.0,150.0,0.8312388408929734
6.0,150.0,0.8480817079722485
8.0,150.0,0.8590717431553292
10.0,150.0,0.8690383854719773
2.0,200.0,0.8000396340830582
4.0,200.0,0.8293245784581852
6.0,200.0,0.8501251088806209
8.0,200.0,0.859923475865465
10.0,200.0,0.8691299913093722
2.0,300.0,0.7964133027824503
4.0,300.0,0.830694004536247
6.0,300.0,0.8495110278057928
8.0,300.0,0.8605233177199694
10.0,300.0,0.868910932411416
2.0,400.0,0.7971261401014191
4.0,400.0,0.831091073286075
6.0,400.0,0.8504568160815551
8.0,400.0,0.8611482559903173
10.0,400.0,0.8685874674960955
2.0,500.0,0.7956348883385035
4.0,500.0,0.8304445410113312
6.0,500.0,0.8500393571937757
8.0,500.0,0.8603547260232625
10.0,500.0,0.8693812746324026
